Simp-Uni	Simp-C	S-attest	Trad
\u541D	吝	9	恡
\u541F	吟	17	唫
\u5423	吣	3	唚
\u5428	吨	19	噸
\u542C	听	130	聽
\u542F	启	49	啟
\u5434	吴	68	吳
\u543B	吻	15	脗
\u5446	呆	28	獃
\u5450	呐	7	吶
\u5452	呒	6	嘸
\u5453	呓	4	囈
\u5455	呕	8	嘔
\u5456	呖	1	嚦
\u5457	呗	3	唄
\u5458	员	283	員
\u5459	呙	2	咼
\u545B	呛	5	嗆
\u545C	呜	7	嗚
\u5468	周	173	週
\u547C	呼	114	嘑
\u548C	和	328	咊龢
\u548F	咏	8	詠
\u5492	咒	14	呪
\u5499	咙	2	嚨
\u549B	咛	2	嚀
\u549D	咝	3	噝
\u54A9	咩	2	哶
\u54AC	咬	32	齩
\u54B1	咱	12	偺喒
\u54B8	咸	40	鹹
\u54BD	咽	28	嚥
\u54BF	咿	2	吚
\u54C4	哄	29	鬨閧
\u54CD	响	63	響
\u54D1	哑	28	啞
\u54D2	哒	6	噠
\u54D3	哓	1	嘵
\u54D4	哔	6	嗶
\u54D5	哕	5	噦
\u54D7	哗	18	嘩譁
\u54D9	哙	2	噲
\u54DC	哜	1	嚌
\u54DD	哝	5	噥
\u54DF	哟	4	喲
\u54F2	哲	24	喆
\u54FA	哺	15	餔
\u5507	唇	35	脣
\u551B	唛	2	嘜
\u551D	唝	2	嗊
\u5520	唠	5	嘮
\u5521	唡	1	啢
\u5522	唢	2	嗩
\u5523	唣	3	唕
\u5524	唤	15	喚
\u5540	啀	1	嘊
\u5553	啓	2	唘
\u5555	啕	4	咷
\u5556	啖	4	啗噉
\u5567	啧	5	嘖
\u556C	啬	3	嗇
\u556D	啭	2	囀
\u556E	啮	10	嚙齧囓
\u556F	啯	1	嘓
\u5570	啰	13	囉
\u5574	啴	7	嘽
\u5578	啸	6	嘯
\u557C	啼	13	嗁
\u5582	喂	9	餵餧
\u558B	喋	7	啑
\u55A7	喧	12	諠
\u55B7	喷	57	噴
\u55BD	喽	9	嘍
\u55BE	喾	2	嚳
\u55E5	嗥	6	嘷獋
\u55EB	嗫	8	囁
\u55F3	嗳	10	噯
\u560E	嘎	25	嘠
\u5618	嘘	11	噓
\u5624	嘤	1	嚶
\u5631	嘱	9	囑
\u563B	嘻	6	譆
\u565C	噜	15	嚕
\u566A	噪	22	譟
\u56A3	嚣	8	囂
\u56DE	回	257	迴逥
\u56E0	因	127	囙
